transaction_id;time_of_purchase;purchase_amount (SEK);customer_id;fname;lname;age;addr_city;email;has_paid_before;annual_salary;type_of_goods;delivery_city;ip_country;is_fraud
2103054;22:46:15;200;70505;Agneta;Lindberg;65;Uppsala;og20neta.lindbelite@hotmail.con;t;28000;Books;Upplandsmerg;SE;f
2104939;13:47:57;8744;25977;Agneta;Olofsson;60;Stockholm;og20neta.olofsslite@hotmail.con;t;304000;Clothing;Fieldberg;SE;f
2105576;00:47:49;10485;71840;Agneta;Lindgren;37;Vosteras;og20n_lindgrlite@hotmail.con;t;220000;Books;Westland;SE;f
2108644;18:47:33;270;41152;Agneta;Fredriksson;30;Uppsala;og20neta.fredriksslite@hotmail.con;t;15000;Food;Upplandsmerg;SE;f
2109554;22:42:19;306;26784;Agneta;Forsberg;36;Linkoping;og20n_forsbelite@hotmail.con;t;7000;Clothing;Linkoping;SE;f
2109827;22:45:24;8970;19884;Agneta;Sjoberg;52;Stockholm;og20neta.sjobelite@hotmail.con;t;493000;Clothing;Fieldberg;SE;f
2110087;03:30:48;2562;29894;Agneta;Lind;36;Stockholm;og20neta.lilite@hotmail.con;t;91000;Clothing;Fieldberg;SE;f
2111140;22:41:58;366;41844;Agneta;Lundin;75;Lund;og20neta_lundlite@hotmail.con;t;139000;Food;Lund;SE;f
2111777;00:45:00;660;32170;Agneta;Bergman;63;Stockholm;og20neta.bergmlite@hotmail.con;t;34000;Clothing;Fieldberg;SE;f
2113337;22:26:18;4242;66205;Agneta;Soderberg;42;Stockholm;og20neta.soderbelite@hotmail.con;t;290000;Clothing;Fieldberg;SE;f
2113779;01:04:02;492;119842;Agneta;Nystrom;57;Malmo;og20neta.nystrlite@hotmail.con;t;417000;Clothing;Magenta;SE;f
2033725;11:29:52;12238;89147;Alexander;Lind;47;Stockholm;ow20a3q877glite@gmail.con;t;457000;Food;Fieldberg;NO;f
1992125;17:37:18;6618;36509;Alexander;Larsson;69;Malmo;ol20exander.larsslite@gmail.con;f;301000;Tickets;Magenta;UK;f
2015525;14:49:22;6585;102222;Alexander;Lindgren;45;Stockholm;ol20exander.lindgrlite@hotmail.con;t;-;Tickets;Fieldberg;SE;f
1989525;21:54:52;5357;31892;Alexander;Nilsson;36;Vosteras;ol20exander_nilsslite@yahoo.sn;f;36000;Clothing;Westland;SE;f
2040225;17:04:44;5234;29766;Alexander;Bergman;23;Malmo;ol20exander.bergmlite@hotmail.con;t;134000;Clothing;Magenta;SE;f
2025925;20:40:58;4374;81386;Alexander;Sandberg;27;Stockholm;ol20exander.sandbelite@telia.con;f;393000;Books;Fieldberg;SE;f
2032425;14:28:02;4123;78849;Alexander;Sjoberg;77;Goteborg;ol20exander.sjobelite@hotmail.con;t;304000;Tickets;Goteborg;SE;f
2029825;17:34:15;4105;11606;Alexander;Mattsson;22;Lund;ol20exander.mattsslite@hotmail.con;t;288000;Clothing;Lund;SE;f
2042825;13:08:56;3840;63947;Alexander;Hakansson;67;Linkoping;ol20e_hakansslite@hotmail.con;t;78000;Dating;Linkoping;SE;f
2009025;18:06:53;3830;114582;Alexander;Petersson;51;Malmo;ol20exander.petersslite@hotmail.con;t;73000;Clothing;Magenta;SE;f
2014225;10:47:22;3680;115791;Alexander;Gustavsson;68;Knivsta;ol20exanderlite@hotmail.con;t;61000;Dating;Upplandsmerg;SE;f
1990825;18:49:49;3545;59775;Alexander;Eriksson;28;Stockholm;ol20exander.eriksslite@gmail.con;f;266000;Clothing;Fieldberg;UK;f
2011625;08:43:11;3212;62722;Alexander;Lindstrom;39;Érebro;o.20llite@hotmail.con;t;174000;Clothing;Emu;SE;f
2007725;17:19:55;2070;96183;Alexander;Jonsson;36;Malmo;ol20exander.jonsslite@hotmail.con;t;31000;Clothing;Magenta;SE;f
1997325;09:22:43;1884;97023;Alexander;Gustafsson;67;Stockholm;ol20exander.gustafsslite@hotmail.con;t;-;Tickets;Fieldberg;FI;f
2016825;17:59:50;1672;7446;Alexander;Lundberg;39;Stockholm;ol20exander.lundbelite@hotmail.con;t;86000;Books;Fieldberg;SE;f
1993425;19:25:37;1439;47899;Alexander;Olsson;75;Érebro;ol20e_olsslite@gmail.con;t;150000;Food;Emu;SE;f
2006425;15:15:13;1367;34135;Alexander;Carlsson;42;Stockholm;ol20exander.carlsslite@hotmail.con;t;53000;Clothing;Fieldberg;;f
2027225;20:13:26;1308;42640;Alexander;Fredriksson;76;Malmo;ol20exander.fredriksslite@yahoo.sn;t;454000;Clothing;Magenta;SE;f
2024625;19:51:37;1209;26329;Alexander;Axelsson;54;Nykvarn;ol20e_axelsslite@telia.con;t;199000;Clothing;Westland;SE;f
2041525;18:07:09;1209;9949;Alexander;Danielsson;61;Uppsala;ol20exander.danielsslite@hotmail.con;t;181000;Clothing;Upplandsmerg;SE;f
2045425;19:48:14;1209;82286;Alexander;Gunnarsson;40;Goteborg;ol20exander.gunnarsslite@gmail.con;t;4000;Clothing;Goteborg;FI;f
2018125;07:50:03;1169;91395;Alexander;Bergstrom;37;Stockholm;ol20exander.bergstrlite@hotmail.con;t;23000;Clothing;Fieldberg;SE;f
2002525;19:51:56;922;25838;Alexander;Hansson;75;Lund;ol20exander.hansslite@telia.con;f;81000;Clothing;Lund;NO;f
2046725;15:03:03;909;53631;Alexander;Soderberg;71;Stockholm;ol20exander.soderbelite@hotmail.con;t;141000;Clothing;Fieldberg;SE;f
2036325;17:15:11;903;116632;Alexander;Engstrom;53;Knivsta;ol20e.engslite@hotmail.con;t;212000;Tickets;Linkoping;SE;f
1988225;17:57:02;738;50042;Alexander;Karlsson;27;Stockholm;ol20exander.karlsslite@hotmail.con;t;93000;Dating;Fieldberg;SE;f
2037625;20:53:09;590;27448;Alexander;Lundin;45;Malmo;ol20exander.lundlite@hotmail.con;t;54000;Clothing;Magenta;NO;f
1999925;15:47:44;550;95911;Alexander;Jonsson;55;Stockholm;ol20exander.jonsslite@hotmail.con;t;87000;Clothing;Fieldberg;SE;f
1985625;17:10:13;383;67642;Alexander;Andersson;30;Vosteras;o.20alite@hotmail.con;t;374000;Clothing;Westland;SE;f
2028525;19:33:17;294;1620;Alexander;Henriksson;37;Stockholm;ol20exander.henriksslite@hotmail.con;t;150000;Food;Fieldberg;DK;f
2010325;18:47:25;279;57985;Alexander;Magnusson;21;Érebro;ol20e_magnusslite@hotmail.con;t;-;Clothing;Emu;SE;f
2038925;18:04:35;258;37795;Alexander;Eklund;23;Malmo;ol20exander.eklulite@hotmail.con;t;4000;Food;Magenta;SE;f
2020725;17:51:32;172;79988;Alexander;Berglund;73;Uppsala;ol20exander.berglulite@hotmail.con;t;142000;Dating;Upplandsmerg;SE;f
2003825;17:01:53;151;59900;Alexander;Bengtsson;25;Uppsala;ol20exander.bengtsslite@hotmail.con;t;6000;Clothing;Upplandsmerg;SE;f
2012925;17:58:02;141;43329;Alexander;Olofsson;23;Goteborg;ol20exander.olofsslite@hotmail.con;t;257000;Clothing;Goteborg;SE;f
2019425;18:24:26;139;20400;Alexander;Jakobsson;35;Uppsala;ol20exander.jakobsslite@hotmail.con;t;498000;Books;Upplandsmerg;SE;f
2044125;13:18:06;127;41015;Alexander;Holm;48;Malmo;ol20exander.holite@hotmail.con;t;32000;Clothing;Magenta;SE;f
2023325;18:50:42;119;65786;Alexander;Berg;50;Lund;ol20exander.belite@hotmail.con;t;355000;Books;Lund;SE;f
2022025;17:43:54;114;114033;Alexander;Lundgren;70;Stockholm;ol20exander.lundgrlite@hotmail.con;t;277000;Clothing;Fieldberg;SE;f
1998625;17:56:16;110;114493;Alexander;Pettersson;67;Stockholm;ol20exander.pettersslite@hotmail.con;t;237000;Food;Fieldberg;SE;f
2048025;19:38:09;102;14639;Alexander;Nystrom;25;Lund;ol20exander.nystrlite@gmail.con;t;3000;Food;Lund;SE;f
2035025;09:19:20;101;20456;Alexander;Lindqvist;45;Goteborg;ol20exander_lindqvilite@hotmail.con;f;84000;Clothing;Goteborg;SE;f
1996025;17:57:28;100;11534;Alexander;Svensson;53;Vosteras;ol20e_svensslite@hotmail.con;t;439000;Books;Westland;SE;f
1994725;17:56:31;100;66503;Alexander;Persson;65;Stockholm;ol20exander.persslite@hotmail.con;t;6000;Clothing;Fieldberg;SE;f
2049325;13:52:31;100;121886;Alexander;Holmberg;41;Goteborg;ol20exander.holmbelite@hotmail.con;t;87000;Food;Goteborg;SE;f
1986925;04:00:29;100;11275;Alexander;Johansson;28;Stockholm;ol20exander_johansslite@hotmail.con;f;258000;Clothing;Fieldberg;SE;f
2001225;17:55:10;100;116160;Alexander;Jansson;60;Érebro;ol20e_jansslite@hotmail.con;t;2000;Tickets;Emu;SE;f
2049858;14:12:15;300;11275;Alexander;Johansson;28;Stockholm;ol20exander_johansslite@hotmail.con;f;258000;Clothing;Fieldberg;SE;f
2051847;20:35:27;1308;42640;Alexander;Fredriksson;76;Malmo;ol20exander.fredriksslite@yahoo.sn;t;454000;Clothing;Fieldberg;SE;f
2052237;12:40:12;202;20456;Alexander;Lindqvist;45;Goteborg;ol20exander_lindqvilite@hotmail.con;f;84000;Clothing;Goteborg;SE;f
2054421;20:54:56;1209;26329;Alexander;Axelsson;54;Nykvarn;ol20e_axelsslite@telia.con;t;199000;Clothing;Fieldberg;SE;f
2056709;01:12:34;200;66503;Alexander;Persson;65;Stockholm;ol20exander.persslite@hotmail.con;t;6000;Clothing;Fieldberg;SE;f
2057073;00:09:35;200;11534;Alexander;Svensson;53;Vosteras;ol20e_svensslite@hotmail.con;t;439000;Books;Westland;SE;f
2058204;18:30:51;100;116160;Alexander;Jansson;60;Érebro;ol20e_jansslite@hotmail.con;t;2000;Tickets;Fieldberg;SE;f
2059933;19:25:26;3830;114582;Alexander;Petersson;51;Malmo;ol20exander.petersslite@hotmail.con;t;73000;Clothing;Fieldberg;SE;f
2060219;19:48:23;279;57985;Alexander;Magnusson;21;Érebro;ol20e_magnusslite@hotmail.con;t;-;Clothing;Fieldberg;SE;f
2060869;21:44:40;282;43329;Alexander;Olofsson;23;Goteborg;ol20exander.olofsslite@hotmail.con;t;257000;Clothing;Goteborg;SE;f
2063105;01:23:50;228;114033;Alexander;Lundgren;70;Stockholm;ol20exander.lundgrlite@hotmail.con;t;277000;Clothing;Fieldberg;SE;f
2065185;01:34:29;8210;11606;Alexander;Mattsson;22;Lund;ol20exander.mattsslite@hotmail.con;t;288000;Clothing;Lund;SE;f
2067330;00:58:28;516;37795;Alexander;Eklund;23;Malmo;ol20exander.eklulite@hotmail.con;t;4000;Food;Magenta;SE;f
2067629;23:39:04;10468;29766;Alexander;Bergman;23;Malmo;ol20exander.bergmlite@hotmail.con;t;134000;Clothing;Magenta;SE;f
2068240;14:28:39;3840;63947;Alexander;Hakansson;67;Linkoping;ol20e_hakansslite@hotmail.con;t;78000;Dating;Fieldberg;SE;f
2068500;14:52:57;127;41015;Alexander;Holm;48;Malmo;ol20exander.holite@hotmail.con;t;32000;Clothing;Fieldberg;SE;f
2070021;23:59:12;300;121886;Alexander;Holmberg;41;Goteborg;ol20exander.holmbelite@hotmail.con;t;87000;Food;Goteborg;SE;f
2070190;10:57:56;1884;97023;Alexander;Gustafsson;67;Stockholm;ol20exander.gustafsslite@hotmail.con;t;-;Tickets;Fieldberg;FI;f
2070463;15:33:15;909;53631;Alexander;Soderberg;71;Stockholm;ol20exander.soderbelite@hotmail.con;t;141000;Clothing;Fieldberg;SE;f
2071568;23:01:39;2418;9949;Alexander;Danielsson;61;Uppsala;ol20exander.danielsslite@hotmail.con;t;181000;Clothing;Upplandsmerg;SE;f
2071867;14:12:15;300;11275;Alexander;Johansson;28;Stockholm;ol20exander_johansslite@hotmail.con;f;258000;Clothing;Fieldberg;SE;f
2073856;20:35:27;1308;42640;Alexander;Fredriksson;76;Malmo;ol20exander.fredriksslite@yahoo.sn;t;454000;Clothing;Fieldberg;SE;f
2074246;12:40:12;202;20456;Alexander;Lindqvist;45;Goteborg;ol20exander_lindqvilite@hotmail.con;f;84000;Clothing;Goteborg;SE;f
2076430;20:54:56;1209;26329;Alexander;Axelsson;54;Nykvarn;ol20e_axelsslite@telia.con;t;199000;Clothing;Fieldberg;SE;f
2078718;01:12:34;200;66503;Alexander;Persson;65;Stockholm;ol20exander.persslite@hotmail.con;t;6000;Clothing;Fieldberg;SE;f
2079082;00:09:35;200;11534;Alexander;Svensson;53;Vosteras;ol20e_svensslite@hotmail.con;t;439000;Books;Westland;SE;f
2080213;18:30:51;100;116160;Alexander;Jansson;60;Érebro;ol20e_jansslite@hotmail.con;t;2000;Tickets;Fieldberg;SE;f
2081942;19:25:26;3830;114582;Alexander;Petersson;51;Malmo;ol20exander.petersslite@hotmail.con;t;73000;Clothing;Fieldberg;SE;f
2082228;19:48:23;279;57985;Alexander;Magnusson;21;Érebro;ol20e_magnusslite@hotmail.con;t;-;Clothing;Fieldberg;SE;f
2082878;21:44:40;282;43329;Alexander;Olofsson;23;Goteborg;ol20exander.olofsslite@hotmail.con;t;257000;Clothing;Goteborg;SE;f
2085114;01:23:50;228;114033;Alexander;Lundgren;70;Stockholm;ol20exander.lundgrlite@hotmail.con;t;277000;Clothing;Fieldberg;SE;f
2087194;01:34:29;8210;11606;Alexander;Mattsson;22;Lund;ol20exander.mattsslite@hotmail.con;t;288000;Clothing;Lund;SE;f
2089339;00:58:28;516;37795;Alexander;Eklund;23;Malmo;ol20exander.eklulite@hotmail.con;t;4000;Food;Magenta;SE;f
2089638;23:39:04;10468;29766;Alexander;Bergman;23;Malmo;ol20exander.bergmlite@hotmail.con;t;134000;Clothing;Magenta;SE;f
2090249;14:28:39;3840;63947;Alexander;Hakansson;67;Linkoping;ol20e_hakansslite@hotmail.con;t;78000;Dating;Fieldberg;SE;f
2090509;14:52:57;127;41015;Alexander;Holm;48;Malmo;ol20exander.holite@hotmail.con;t;32000;Clothing;Fieldberg;SE;f
2092030;23:59:12;300;121886;Alexander;Holmberg;41;Goteborg;ol20exander.holmbelite@hotmail.con;t;87000;Food;Goteborg;SE;f
2092199;10:57:56;1884;97023;Alexander;Gustafsson;67;Stockholm;ol20exander.gustafsslite@hotmail.con;t;-;Tickets;Fieldberg;FI;f
